X,Y,Z,Chat-252
53,25,18,0.004974713
63,34,18,7.76E-05
53,25,19,0.005733273
53,26,19,0.006038758
62,33,19,0.002626408
53,25,20,0.01304266
53,26,20,0.01472626
53,27,20,0.011972019
53,28,20,0.007415192
62,28,20,0.023931876
53,29,20,0.005598719
62,29,20,0.02334433
63,29,20,0.009111056
64,29,20,-1
54,30,20,0.01860754
55,30,20,0.007196636
59,30,20,0.008855999
62,30,20,0.023980884
63,30,20,0.00999031
64,30,20,-1
53,31,20,0.00683878
54,31,20,0.020891892
55,31,20,0.01449472
57,31,20,0.024314059
58,31,20,0.01943165
59,31,20,0.009422506
62,31,20,0.021164019
63,31,20,0.008118368
53,32,20,0.006432292
54,32,20,0.01868927
59,32,20,0.011619566
62,32,20,0.01433919
63,32,20,0.004903552
53,33,20,0.004347993
55,33,20,0.029230548
58,33,20,0.046146363
59,33,20,0.013800713
62,33,20,0.006557266
63,33,20,0.002324083
64,33,20,-1
53,34,20,0.001559781
54,34,20,0.004448379
55,34,20,0.02163065
56,34,20,0.017016856
58,34,20,0.016809823
59,34,20,0.007210143
60,34,20,-1
63,34,20,0.000820961
54,35,20,0.000573573
55,35,20,0.003743233
56,35,20,0.004937759
58,35,20,0.002236549
59,35,20,0.002106066
53,26,21,0.0372771
53,27,21,0.03215842
60,27,21,-1
62,27,21,0.018201558
64,27,21,-1
54,28,21,0.015133788
60,28,21,-1
61,28,21,0.011605455
62,28,21,0.017452486
64,28,21,-1
54,29,21,0.014632551
55,29,21,0.006524711
56,29,21,0.004175591
57,29,21,0.010197222
58,29,21,0.007778611
59,29,21,0.008131813
60,29,21,-1
61,29,21,0.011012562
62,29,21,0.022032257
63,29,21,0.014092584
64,29,21,-1
53,30,21,0.005176599
54,30,21,0.016298098
55,30,21,0.008446886
56,30,21,0.006104144
57,30,21,0.014292705
58,30,21,0.012570936
59,30,21,0.008595457
60,30,21,-1
61,30,21,0.024894029
62,30,21,0.032128118
63,30,21,0.019100284
64,30,21,-1
65,30,21,-1
53,31,21,0.005473828
54,31,21,0.020535307
55,31,21,0.02008924
56,31,21,0.014306233
57,31,21,0.037082117
58,31,21,0.025799217
59,31,21,0.012212956
60,31,21,-1
61,31,21,0.025214361
62,31,21,0.02816201
63,31,21,0.014843551
53,32,21,0.005563876
54,32,21,0.022276677
55,32,21,0.040725965
56,32,21,0.03534621
57,32,21,0.05949485
58,32,21,0.045393933
59,32,21,0.015648913
62,32,21,0.020305635
63,32,21,0.009066524
64,32,21,-1
53,33,21,0.004019382
54,33,21,0.016756237
55,33,21,0.05342613
56,33,21,0.04787737
58,33,21,0.058096137
61,33,21,0.0100715
63,33,21,0.006293631
64,33,21,-1
53,34,21,0.00161629
54,34,21,0.008837019
55,34,21,0.04099463
56,34,21,0.04496792
57,34,21,0.031405527
58,34,21,0.023857525
61,34,21,0.00527958
63,34,21,0.002517425
64,34,21,-1
54,35,21,0.001514491
55,35,21,0.009543445
56,35,21,0.015087776
57,35,21,0.00634162
58,35,21,0.004949819
59,35,21,0.007954675
60,35,21,-1
61,35,21,0.000880699
58,36,21,0.000485305
54,26,22,0.017753279
62,26,22,0.018918486
53,27,22,0.061848782
54,27,22,0.016854258
55,27,22,0.00767534
59,27,22,0.007666179
61,27,22,0.014390031
62,27,22,0.014870731
64,27,22,-1
53,28,22,0.02895001
54,28,22,0.013966577
55,28,22,0.00992668
56,28,22,0.011045687
58,28,22,0.005854412
59,28,22,0.005353632
60,28,22,-1
61,28,22,0.012923847
62,28,22,0.013555476
63,28,22,0.008773431
64,28,22,-1
65,28,22,-1
53,29,22,0.007462265
56,29,22,0.008426813
57,29,22,0.010281705
58,29,22,0.006896714
59,29,22,0.005591154
60,29,22,-1
61,29,22,0.013780143
62,29,22,0.02106283
63,29,22,0.013307745
64,29,22,-1
65,29,22,-1
53,30,22,0.003140146
54,30,22,0.014293979
55,30,22,0.008819692
56,30,22,0.00720712
57,30,22,0.010355577
58,30,22,0.011200154
60,30,22,-1
61,30,22,0.022288555
62,30,22,0.03423088
63,30,22,0.019555679
64,30,22,-1
65,30,22,-1
53,31,22,0.003970809
54,31,22,0.019397635
55,31,22,0.019539665
56,31,22,0.015413065
57,31,22,0.037900485
58,31,22,0.027555974
59,31,22,0.013943564
61,31,22,0.0225089
62,31,22,0.028697584
63,31,22,0.015447916
64,31,22,-1
65,31,22,-1
53,32,22,0.005539548
54,32,22,0.023674503
55,32,22,0.04382233
56,32,22,0.048159674
57,32,22,0.06524589
58,32,22,0.0450434
59,32,22,0.017429493
60,32,22,-1
62,32,22,0.024242884
63,32,22,0.010904887
64,32,22,-1
53,33,22,0.005929952
54,33,22,0.02192067
55,33,22,0.058480464
56,33,22,0.0628234
57,33,22,0.058221135
58,33,22,0.05122891
59,33,22,0.02370382
60,33,22,-1
64,33,22,-1
54,34,22,0.011835149
55,34,22,0.04661692
56,34,22,0.054639034
57,34,22,0.035579596
58,34,22,0.025445228
60,34,22,-1
63,34,22,0.004567576
57,35,22,0.011792681
58,35,22,0.008454152
59,35,22,0.013477107
60,35,22,-1
61,35,22,0.004380938
57,36,22,0.002314481
58,36,22,0.001853857
59,36,22,0.002308767
60,36,22,-1
61,36,22,0.001238346
58,37,22,0.000487916
54,25,23,0.009690061
54,26,23,0.011639903
63,26,23,0.011007247
54,27,23,0.010567362
55,27,23,0.007261973
56,27,23,0.007624918
61,27,23,0.014442334
62,27,23,0.019454377
63,27,23,0.009512407
64,27,23,-1
54,28,23,0.008482048
55,28,23,0.009216579
56,28,23,0.013573023
57,28,23,0.011364684
58,28,23,0.007825137
59,28,23,0.004442448
60,28,23,-1
61,28,23,0.013809
62,28,23,0.017780606
63,28,23,0.007832442
64,28,23,-1
65,28,23,-1
53,29,23,0.006167146
54,29,23,0.009827836
55,29,23,0.008604416
56,29,23,0.00944153
57,29,23,0.009158093
58,29,23,0.009882634
59,29,23,0.005139116
60,29,23,-1
61,29,23,0.014617408
62,29,23,0.018795354
63,29,23,0.007593876
64,29,23,-1
65,29,23,-1
53,30,23,0.00303082
54,30,23,0.015424748
55,30,23,0.008424625
56,30,23,0.007568756
57,30,23,0.00715663
58,30,23,0.01268422
59,30,23,0.007693873
60,30,23,-1
61,30,23,0.015274818
62,30,23,0.02189209
63,30,23,0.010118975
64,30,23,-1
53,31,23,0.004281087
54,31,23,0.019528523
55,31,23,0.017141394
56,31,23,0.014917108
57,31,23,0.028966917
58,31,23,0.020665769
59,31,23,0.012065101
61,31,23,0.017034877
62,31,23,0.021999985
63,31,23,0.009923829
64,31,23,-1
54,32,23,0.022170777
55,32,23,0.037913285
56,32,23,0.052408107
57,32,23,0.052586056
58,32,23,0.028815934
59,32,23,0.014420652
60,32,23,-1
61,32,23,0.020172816
62,32,23,0.025637945
63,32,23,0.009857742
64,32,23,-1
53,33,23,0.004722513
54,33,23,0.021446003
55,33,23,0.05860624
56,33,23,0.06888432
57,33,23,0.05083206
58,33,23,0.03088472
59,33,23,0.019084759
60,33,23,-1
61,33,23,0.025518415
62,33,23,0.029742546
63,33,23,0.009999937
64,33,23,-1
53,34,23,0.00237101
54,34,23,0.012974122
55,34,23,0.05033272
56,34,23,0.056996256
57,34,23,0.035561945
58,34,23,0.021450533
59,34,23,0.024073198
60,34,23,-1
61,34,23,0.019917114
63,34,23,0.006753675
64,34,23,-1
53,35,23,0.00074154
54,35,23,0.004530451
55,35,23,0.022873648
56,35,23,0.023943702
57,35,23,0.016050242
58,35,23,0.0115812
59,35,23,0.0143608
60,35,23,-1
54,36,23,0.001218109
55,36,23,0.007072049
56,36,23,0.004783039
57,36,23,0.003948838
58,36,23,0.004653042
59,36,23,0.004757742
58,37,23,0.001365413
59,37,23,0.00123339
54,25,24,0.005811189
54,26,24,0.006337668
55,27,24,0.006495724
57,27,24,0.007382946
60,27,24,-1
61,27,24,0.010862184
62,27,24,0.015224819
63,27,24,0.007103875
64,27,24,-1
54,28,24,0.006109862
55,28,24,0.0068542
56,28,24,0.006021456
57,28,24,0.006460626
58,28,24,0.00686322
59,28,24,0.006070478
60,28,24,-1
61,28,24,0.011283982
62,28,24,0.01633708
63,28,24,0.007083016
64,28,24,-1
65,28,24,-1
54,29,24,0.007994456
55,29,24,0.004786563
56,29,24,0.004474208
57,29,24,0.005922031
58,29,24,0.007926417
59,29,24,0.004592416
60,29,24,-1
61,29,24,0.012014128
62,29,24,0.017216614
63,29,24,0.007567011
64,29,24,-1
54,30,24,0.012554827
55,30,24,0.006723199
56,30,24,0.00684019
57,30,24,0.004873147
58,30,24,0.009300823
59,30,24,0.005140104
60,30,24,-1
61,30,24,0.01148554
62,30,24,0.017590245
63,30,24,0.007938872
64,30,24,-1
55,31,24,0.013668621
56,31,24,0.01677954
57,31,24,0.013770229
58,31,24,0.011098561
59,31,24,0.007758667
60,31,24,-1
61,31,24,0.016376378
62,31,24,0.022036674
63,31,24,0.008604378
64,31,24,-1
54,32,24,0.0196802
55,32,24,0.028846951
56,32,24,0.04939557
57,32,24,0.03040548
58,32,24,0.01508547
59,32,24,0.009678956
60,32,24,-1
61,32,24,0.022898184
62,32,24,0.026970247
63,32,24,0.009130236
64,32,24,-1
54,33,24,0.020283366
55,33,24,0.053829614
56,33,24,0.07296985
57,33,24,0.042680267
58,33,24,0.01896056
59,33,24,0.012848185
61,33,24,0.02232128
62,33,24,0.029895587
63,33,24,0.009175419
64,33,24,-1
54,34,24,0.014112141
55,34,24,0.050870243
56,34,24,0.06957724
57,34,24,0.035725195
58,34,24,0.018468456
59,34,24,0.015905457
62,34,24,0.026210962
63,34,24,0.00772349
54,35,24,0.00635028
55,35,24,0.026644347
56,35,24,0.03324313
57,35,24,0.018398436
58,35,24,0.012962941
59,35,24,0.011398538
63,35,24,0.00411645
53,36,24,0.000167245
54,36,24,0.001644832
56,36,24,0.009166192
57,36,24,0.005214945
58,36,24,0.006310672
59,36,24,0.005370595
58,37,24,0.001953477
54,27,25,0.002660217
57,27,25,0.004770432
58,27,25,0.006925892
59,27,25,0.010592
60,27,25,-1
61,27,25,0.010847814
62,27,25,0.010494647
63,27,25,0.006367777
64,27,25,-1
54,28,25,0.004813
57,28,25,0.004247764
58,28,25,0.005734687
59,28,25,0.006659773
60,28,25,-1
61,28,25,0.008802573
62,28,25,0.01362066
63,28,25,0.006554275
64,28,25,-1
54,29,25,0.006198541
55,29,25,0.002209308
56,29,25,0.002165551
57,29,25,0.004140997
58,29,25,0.005308508
59,29,25,0.003704154
60,29,25,-1
61,29,25,0.00777819
62,29,25,0.015780807
63,29,25,0.007276507
64,29,25,-1
54,30,25,0.007409308
55,30,25,0.003277158
56,30,25,0.004471873
57,30,25,0.00383924
58,30,25,0.005180826
59,30,25,0.002778071
60,30,25,-1
61,30,25,0.009782111
62,30,25,0.017819615
63,30,25,0.00748949
64,30,25,-1
54,31,25,0.012471112
55,31,25,0.007022626
56,31,25,0.012052226
57,31,25,0.006307582
58,31,25,0.005417957
59,31,25,0.004350032
60,31,25,-1
61,31,25,0.015282397
62,31,25,0.023767209
63,31,25,0.008295354
64,31,25,-1
54,32,25,0.015923398
55,32,25,0.015155318
56,32,25,0.032886125
57,32,25,0.015696062
58,32,25,0.009293567
59,32,25,0.006461524
60,32,25,-1
61,32,25,0.020635284
62,32,25,0.026184143
63,32,25,0.008124576
64,32,25,-1
54,33,25,0.016988391
55,33,25,0.029585276
56,33,25,0.05282402
57,33,25,0.028560521
58,33,25,0.01516543
59,33,25,0.008956683
61,33,25,0.018588947
62,33,25,0.02666445
63,33,25,0.007657793
64,33,25,-1
53,34,25,0.00152633
54,34,25,0.012645097
55,34,25,0.030228019
56,34,25,0.056424793
57,34,25,0.026928373
58,34,25,0.017014768
59,34,25,0.010292204
61,34,25,0.015926216
62,34,25,0.02761043
53,35,25,0.000761596
55,35,25,0.017451227
57,35,25,0.015122946
58,35,25,0.012269998
59,35,25,0.007754938
60,35,25,-1
55,36,25,0.00581715
58,36,25,0.005610137
60,26,26,-1
57,27,26,0.003998709
58,27,26,0.00517413
59,27,26,0.007001508
60,27,26,-1
61,27,26,0.010786267
54,28,26,0.003629223
55,28,26,0.014009474
56,28,26,0.004520529
57,28,26,0.00450147
58,28,26,0.006998665
59,28,26,0.004524206
60,28,26,-1
61,28,26,0.006899186
62,28,26,0.013300596
63,28,26,0.006514004
64,28,26,-1
54,29,26,0.002838443
55,29,26,0.001683335
56,29,26,0.001628513
57,29,26,0.004395511
58,29,26,0.00692666
59,29,26,0.003297812
60,29,26,-1
61,29,26,0.004719462
62,29,26,0.013619322
63,29,26,0.004949858
64,29,26,-1
54,30,26,0.003642865
55,30,26,0.001526025
56,30,26,0.001701276
57,30,26,0.003326857
58,30,26,0.005716052
59,30,26,0.002834766
60,30,26,-1
61,30,26,0.007933213
62,30,26,0.014280461
63,30,26,0.004951894
64,30,26,-1
54,31,26,0.007163925
55,31,26,0.00266283
56,31,26,0.004311394
57,31,26,0.003289953
58,31,26,0.00532974
59,31,26,0.003932838
60,31,26,-1
61,31,26,0.01238794
62,31,26,0.019803379
63,31,26,0.005947399
64,31,26,-1
54,32,26,0.00952299
55,32,26,0.005137501
56,32,26,0.01202435
57,32,26,0.007308313
58,32,26,0.008268217
59,32,26,0.006511665
60,32,26,-1
61,32,26,0.016259205
62,32,26,0.021939272
63,32,26,0.006030415
64,32,26,-1
53,33,26,0.001329098
54,33,26,0.009772166
55,33,26,0.00860723
56,33,26,0.020357704
57,33,26,0.014004867
58,33,26,0.013750113
59,33,26,0.009054947
60,33,26,-1
62,33,26,0.02337708
53,34,26,0.000875871
54,34,26,0.007068403
55,34,26,0.009087662
56,34,26,0.023494717
57,34,26,0.013866541
58,34,26,0.016650533
59,34,26,0.00964446
60,34,26,-1
54,35,26,0.003516543
55,35,26,0.005926448
56,35,26,0.016053528
57,35,26,0.008435248
58,35,26,0.01093819
59,35,26,0.006582649
60,35,26,-1
55,36,26,0.002099828
57,36,26,0.002888816
58,36,26,0.003903031
60,26,27,-1
55,27,27,0.026843833
56,27,27,0.004584425
57,27,27,0.004798579
58,27,27,0.003726858
59,27,27,0.004960688
61,27,27,0.008897536
62,27,27,0.014147673
54,28,27,0.003470263
55,28,27,0.020329727
56,28,27,0.004163685
57,28,27,0.005821135
58,28,27,0.005699281
59,28,27,0.003079041
60,28,27,-1
61,28,27,0.005786358
62,28,27,0.013153724
63,28,27,0.006755771
64,28,27,-1
54,29,27,0.001141714
55,29,27,0.001920476
56,29,27,0.001274075
57,29,27,0.005483653
58,29,27,0.00663276
59,29,27,0.002616014
60,29,27,-1
61,29,27,0.004670217
62,29,27,0.012977649
63,29,27,0.004216994
64,29,27,-1
54,30,27,0.001864656
55,30,27,0.001509993
56,30,27,0.000733875
57,30,27,0.00296331
58,30,27,0.006388204
59,30,27,0.002971492
60,30,27,-1
61,30,27,0.006839148
62,30,27,0.013713952
63,30,27,0.005203272
64,30,27,-1
54,31,27,0.003898301
55,31,27,0.001721149
56,31,27,0.001053379
57,31,27,0.001994853
58,31,27,0.006053991
59,31,27,0.004240615
60,31,27,-1
62,31,27,0.016186854
63,31,27,0.005251845
54,32,27,0.004893767
55,32,27,0.002076276
56,32,27,0.002609509
57,32,27,0.003449234
58,32,27,0.007849154
60,32,27,-1
62,32,27,0.018259607
53,33,27,0.000826554
54,33,27,0.004271899
55,33,27,0.002198733
56,33,27,0.004188253
57,33,27,0.006401048
58,33,27,0.012290929
59,33,27,0.008531502
60,33,27,-1
53,34,27,0.000360927
54,34,27,0.002457447
55,34,27,0.002852736
56,34,27,0.005515674
57,34,27,0.006281973
58,34,27,0.015403226
59,34,27,0.00941632
54,35,27,0.001053348
55,35,27,0.00276101
56,35,27,0.005922047
57,35,27,0.003927881
58,35,27,0.009264096
55,36,27,0.001216397
56,26,28,0.002163271
60,26,28,-1
55,27,28,0.012505907
58,27,28,0.002261634
59,27,28,0.003907502
60,27,28,-1
61,27,28,0.008905232
62,27,28,0.018875666
54,28,28,0.001781763
55,28,28,0.009844301
60,28,28,-1
61,28,28,0.005481117
62,28,28,0.012808239
63,28,28,0.007324661
54,29,28,0.000649854
55,29,28,0.001437277
57,29,28,0.003703892
61,29,28,0.005470474
62,29,28,0.013716802
63,29,28,0.004382456
64,29,28,-1
54,30,28,0.001457935
55,30,28,0.002233333
57,30,28,0.002400334
63,30,28,0.006295241
64,30,28,-1
54,31,28,0.002946072
55,31,28,0.002458948
54,32,28,0.003594209
55,32,28,0.002072868
54,33,28,0.002882817
55,33,28,0.001598662
56,33,28,0.001623281
58,33,28,0.010162617
53,34,28,0.000237281
54,34,28,0.001303959
55,34,28,0.002778754
59,34,28,0.006534027
54,35,28,0.000546215
55,35,28,0.00330142
56,35,28,0.002676342
57,35,28,0.002019397
58,35,28,0.007652789
54,36,28,0.000283261
57,36,28,0.000747087
