cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
3,3,7,4,53,25,18,0.004974713
3,3,4,9,63,34,18,7.76e-05
3,3,7,7,53,25,19,0.005733273
3,3,7,7,53,26,19,0.006038758
3,3,4,9,62,33,19,0.002626408
1,1,1,10,53,25,20,0.01304266
1,1,1,10,53,26,20,0.01472626
1,1,1,1,53,27,20,0.011972019
3,1,7,7,53,28,20,0.007415192
1,4,5,8,62,28,20,0.023931876
3,3,7,7,53,29,20,0.005598719
1,4,5,8,62,29,20,0.02334433
3,1,7,1,63,29,20,0.009111056
0,0,0,0,64,29,20,-1.0
1,4,5,5,54,30,20,0.01860754
3,1,7,7,55,30,20,0.007196636
3,1,7,1,59,30,20,0.008855999
1,4,5,8,62,30,20,0.023980884
1,1,1,1,63,30,20,0.00999031
0,0,0,0,64,30,20,-1.0
3,3,7,7,53,31,20,0.00683878
1,4,5,8,54,31,20,0.020891892
1,1,1,10,55,31,20,0.01449472
1,4,5,8,57,31,20,0.024314059
1,4,5,5,58,31,20,0.01943165
3,1,1,1,59,31,20,0.009422506
1,4,5,8,62,31,20,0.021164019
3,1,7,7,63,31,20,0.008118368
3,3,7,7,53,32,20,0.006432292
1,4,5,5,54,32,20,0.01868927
1,1,1,1,59,32,20,0.011619566
1,1,1,10,62,32,20,0.01433919
3,3,7,4,63,32,20,0.004903552
3,3,4,4,53,33,20,0.004347993
2,4,3,12,55,33,20,0.029230548
2,2,6,6,58,33,20,0.046146363
1,1,1,10,59,33,20,0.013800713
3,3,7,7,62,33,20,0.006557266
3,3,4,9,63,33,20,0.002324083
0,0,0,0,64,33,20,-1.0
3,3,4,9,53,34,20,0.001559781
3,3,4,4,54,34,20,0.004448379
1,4,5,8,55,34,20,0.02163065
1,4,5,5,56,34,20,0.017016856
1,4,5,5,58,34,20,0.016809823
3,1,7,7,59,34,20,0.007210143
0,0,0,0,60,34,20,-1.0
3,3,4,9,63,34,20,0.000820961
3,3,4,9,54,35,20,0.000573573
3,3,4,4,55,35,20,0.003743233
3,3,7,4,56,35,20,0.004937759
3,3,4,9,58,35,20,0.002236549
3,3,4,9,59,35,20,0.002106066
2,2,3,3,53,26,21,0.0372771
2,2,3,3,53,27,21,0.03215842
0,0,0,0,60,27,21,-1.0
1,4,5,5,62,27,21,0.018201558
0,0,0,0,64,27,21,-1.0
1,1,1,10,54,28,21,0.015133788
0,0,0,0,60,28,21,-1.0
1,1,1,1,61,28,21,0.011605455
1,4,5,5,62,28,21,0.017452486
0,0,0,0,64,28,21,-1.0
1,1,1,10,54,29,21,0.014632551
3,3,7,7,55,29,21,0.006524711
3,3,4,4,56,29,21,0.004175591
1,1,1,1,57,29,21,0.010197222
3,1,7,7,58,29,21,0.007778611
3,1,7,7,59,29,21,0.008131813
0,0,0,0,60,29,21,-1.0
1,1,1,1,61,29,21,0.011012562
1,4,5,8,62,29,21,0.022032257
1,1,1,10,63,29,21,0.014092584
0,0,0,0,64,29,21,-1.0
3,3,7,4,53,30,21,0.005176599
1,4,5,10,54,30,21,0.016298098
3,1,7,7,55,30,21,0.008446886
3,3,7,7,56,30,21,0.006104144
1,1,1,10,57,30,21,0.014292705
1,1,1,1,58,30,21,0.012570936
3,1,7,7,59,30,21,0.008595457
0,0,0,0,60,30,21,-1.0
1,4,3,8,61,30,21,0.024894029
2,2,3,3,62,30,21,0.032128118
1,4,5,5,63,30,21,0.019100284
0,0,0,0,64,30,21,-1.0
0,0,0,0,65,30,21,-1.0
3,3,7,7,53,31,21,0.005473828
1,4,5,5,54,31,21,0.020535307
1,4,5,5,55,31,21,0.02008924
1,1,1,10,56,31,21,0.014306233
2,2,3,3,57,31,21,0.037082117
1,4,3,12,58,31,21,0.025799217
1,1,1,1,59,31,21,0.012212956
0,0,0,0,60,31,21,-1.0
1,4,3,8,61,31,21,0.025214361
1,4,3,12,62,31,21,0.02816201
1,1,1,10,63,31,21,0.014843551
3,3,7,7,53,32,21,0.005563876
1,4,5,8,54,32,21,0.022276677
2,2,6,3,55,32,21,0.040725965
2,2,3,3,56,32,21,0.03534621
2,5,2,2,57,32,21,0.05949485
2,2,6,6,58,32,21,0.045393933
1,1,5,10,59,32,21,0.015648913
1,4,5,5,62,32,21,0.020305635
3,1,7,1,63,32,21,0.009066524
0,0,0,0,64,32,21,-1.0
3,3,4,4,53,33,21,0.004019382
1,4,5,5,54,33,21,0.016756237
2,5,6,2,55,33,21,0.05342613
2,2,6,6,56,33,21,0.04787737
2,5,2,2,58,33,21,0.058096137
1,1,1,1,61,33,21,0.0100715
3,3,7,7,63,33,21,0.006293631
0,0,0,0,64,33,21,-1.0
3,3,4,9,53,34,21,0.00161629
3,1,7,1,54,34,21,0.008837019
2,2,6,3,55,34,21,0.04099463
2,2,6,6,56,34,21,0.04496792
2,2,3,12,57,34,21,0.031405527
1,4,5,8,58,34,21,0.023857525
3,3,7,4,61,34,21,0.00527958
3,3,4,9,63,34,21,0.002517425
0,0,0,0,64,34,21,-1.0
3,3,4,9,54,35,21,0.001514491
3,1,1,1,55,35,21,0.009543445
1,1,1,10,56,35,21,0.015087776
3,3,7,7,57,35,21,0.00634162
3,3,7,4,58,35,21,0.004949819
3,1,7,7,59,35,21,0.007954675
0,0,0,0,60,35,21,-1.0
3,3,4,9,61,35,21,0.000880699
3,3,4,9,58,36,21,0.000485305
1,4,5,5,54,26,22,0.017753279
1,4,5,5,62,26,22,0.018918486
2,5,2,2,53,27,22,0.061848782
1,4,5,5,54,27,22,0.016854258
3,1,7,7,55,27,22,0.00767534
3,1,7,7,59,27,22,0.007666179
1,1,1,10,61,27,22,0.014390031
1,1,1,10,62,27,22,0.014870731
0,0,0,0,64,27,22,-1.0
1,4,3,12,53,28,22,0.02895001
1,1,1,10,54,28,22,0.013966577
1,1,1,1,55,28,22,0.00992668
1,1,1,1,56,28,22,0.011045687
3,3,7,7,58,28,22,0.005854412
3,3,7,4,59,28,22,0.005353632
0,0,0,0,60,28,22,-1.0
1,1,1,10,61,28,22,0.012923847
1,1,1,10,62,28,22,0.013555476
3,1,7,1,63,28,22,0.008773431
0,0,0,0,64,28,22,-1.0
0,0,0,0,65,28,22,-1.0
3,1,7,7,53,29,22,0.007462265
3,1,7,7,56,29,22,0.008426813
1,1,1,1,57,29,22,0.010281705
3,3,7,7,58,29,22,0.006896714
3,3,7,7,59,29,22,0.005591154
0,0,0,0,60,29,22,-1.0
1,1,1,10,61,29,22,0.013780143
1,4,5,8,62,29,22,0.02106283
1,1,1,10,63,29,22,0.013307745
0,0,0,0,64,29,22,-1.0
0,0,0,0,65,29,22,-1.0
3,3,4,4,53,30,22,0.003140146
1,1,1,10,54,30,22,0.014293979
3,1,7,1,55,30,22,0.008819692
3,1,7,7,56,30,22,0.00720712
1,1,1,1,57,30,22,0.010355577
1,1,1,1,58,30,22,0.011200154
0,0,0,0,60,30,22,-1.0
1,4,5,8,61,30,22,0.022288555
2,2,3,3,62,30,22,0.03423088
1,4,5,5,63,30,22,0.019555679
0,0,0,0,64,30,22,-1.0
0,0,0,0,65,30,22,-1.0
3,3,4,4,53,31,22,0.003970809
1,4,5,5,54,31,22,0.019397635
1,4,5,5,55,31,22,0.019539665
1,1,1,10,56,31,22,0.015413065
2,2,3,3,57,31,22,0.037900485
1,4,3,12,58,31,22,0.027555974
1,1,1,10,59,31,22,0.013943564
1,4,5,8,61,31,22,0.0225089
1,4,3,12,62,31,22,0.028697584
1,1,1,10,63,31,22,0.015447916
0,0,0,0,64,31,22,-1.0
0,0,0,0,65,31,22,-1.0
3,3,7,7,53,32,22,0.005539548
1,4,5,8,54,32,22,0.023674503
2,2,6,6,55,32,22,0.04382233
2,5,6,6,56,32,22,0.048159674
2,5,2,11,57,32,22,0.06524589
2,2,6,6,58,32,22,0.0450434
1,4,5,5,59,32,22,0.017429493
0,0,0,0,60,32,22,-1.0
1,4,5,8,62,32,22,0.024242884
1,1,1,1,63,32,22,0.010904887
0,0,0,0,64,32,22,-1.0
3,3,7,7,53,33,22,0.005929952
1,4,5,8,54,33,22,0.02192067
2,5,2,2,55,33,22,0.058480464
2,5,2,2,56,33,22,0.0628234
2,5,2,2,57,33,22,0.058221135
2,5,6,6,58,33,22,0.05122891
1,4,5,8,59,33,22,0.02370382
0,0,0,0,60,33,22,-1.0
0,0,0,0,64,33,22,-1.0
1,1,1,1,54,34,22,0.011835149
2,2,6,6,55,34,22,0.04661692
2,5,6,2,56,34,22,0.054639034
2,2,3,3,57,34,22,0.035579596
1,4,3,8,58,34,22,0.025445228
0,0,0,0,60,34,22,-1.0
3,3,4,4,63,34,22,0.004567576
1,1,1,1,57,35,22,0.011792681
3,1,7,7,58,35,22,0.008454152
1,1,1,10,59,35,22,0.013477107
0,0,0,0,60,35,22,-1.0
3,3,4,4,61,35,22,0.004380938
3,3,4,9,57,36,22,0.002314481
3,3,4,9,58,36,22,0.001853857
3,3,4,9,59,36,22,0.002308767
0,0,0,0,60,36,22,-1.0
3,3,4,9,61,36,22,0.001238346
3,3,4,9,58,37,22,0.000487916
3,1,1,1,54,25,23,0.009690061
1,1,1,1,54,26,23,0.011639903
1,1,1,1,63,26,23,0.011007247
1,1,1,1,54,27,23,0.010567362
3,1,7,7,55,27,23,0.007261973
3,1,7,7,56,27,23,0.007624918
1,1,1,10,61,27,23,0.014442334
1,4,5,5,62,27,23,0.019454377
3,1,1,1,63,27,23,0.009512407
0,0,0,0,64,27,23,-1.0
3,1,7,7,54,28,23,0.008482048
3,1,7,1,55,28,23,0.009216579
1,1,1,10,56,28,23,0.013573023
1,1,1,1,57,28,23,0.011364684
3,1,7,7,58,28,23,0.007825137
3,3,4,4,59,28,23,0.004442448
0,0,0,0,60,28,23,-1.0
1,1,1,10,61,28,23,0.013809
1,4,5,5,62,28,23,0.017780606
3,1,7,7,63,28,23,0.007832442
0,0,0,0,64,28,23,-1.0
0,0,0,0,65,28,23,-1.0
3,3,7,7,53,29,23,0.006167146
1,1,1,1,54,29,23,0.009827836
3,1,7,7,55,29,23,0.008604416
3,1,1,1,56,29,23,0.00944153
3,1,7,1,57,29,23,0.009158093
1,1,1,1,58,29,23,0.009882634
3,3,7,4,59,29,23,0.005139116
0,0,0,0,60,29,23,-1.0
1,1,1,10,61,29,23,0.014617408
1,4,5,5,62,29,23,0.018795354
3,1,7,7,63,29,23,0.007593876
0,0,0,0,64,29,23,-1.0
0,0,0,0,65,29,23,-1.0
3,3,4,4,53,30,23,0.00303082
1,1,1,10,54,30,23,0.015424748
3,1,7,7,55,30,23,0.008424625
3,1,7,7,56,30,23,0.007568756
3,1,7,7,57,30,23,0.00715663
1,1,1,10,58,30,23,0.01268422
3,1,7,7,59,30,23,0.007693873
0,0,0,0,60,30,23,-1.0
1,1,1,10,61,30,23,0.015274818
1,4,5,8,62,30,23,0.02189209
1,1,1,1,63,30,23,0.010118975
0,0,0,0,64,30,23,-1.0
3,3,4,4,53,31,23,0.004281087
1,4,5,5,54,31,23,0.019528523
1,4,5,5,55,31,23,0.017141394
1,1,1,10,56,31,23,0.014917108
1,4,3,12,57,31,23,0.028966917
1,4,5,5,58,31,23,0.020665769
1,1,1,1,59,31,23,0.012065101
1,4,5,5,61,31,23,0.017034877
1,4,5,8,62,31,23,0.021999985
1,1,1,1,63,31,23,0.009923829
0,0,0,0,64,31,23,-1.0
1,4,5,8,54,32,23,0.022170777
2,2,3,3,55,32,23,0.037913285
2,5,6,6,56,32,23,0.052408107
2,5,6,6,57,32,23,0.052586056
1,4,3,12,58,32,23,0.028815934
1,1,1,10,59,32,23,0.014420652
0,0,0,0,60,32,23,-1.0
1,4,5,5,61,32,23,0.020172816
1,4,3,12,62,32,23,0.025637945
1,1,1,1,63,32,23,0.009857742
0,0,0,0,64,32,23,-1.0
3,3,4,4,53,33,23,0.004722513
1,4,5,8,54,33,23,0.021446003
2,5,2,2,55,33,23,0.05860624
2,5,2,11,56,33,23,0.06888432
2,5,6,6,57,33,23,0.05083206
2,2,3,12,58,33,23,0.03088472
1,4,5,5,59,33,23,0.019084759
0,0,0,0,60,33,23,-1.0
1,4,3,12,61,33,23,0.025518415
2,2,3,12,62,33,23,0.029742546
1,1,1,1,63,33,23,0.009999937
0,0,0,0,64,33,23,-1.0
3,3,4,9,53,34,23,0.00237101
1,1,1,10,54,34,23,0.012974122
2,5,6,6,55,34,23,0.05033272
2,5,2,2,56,34,23,0.056996256
2,2,3,3,57,34,23,0.035561945
1,4,5,8,58,34,23,0.021450533
1,4,5,8,59,34,23,0.024073198
0,0,0,0,60,34,23,-1.0
1,4,5,5,61,34,23,0.019917114
3,3,7,7,63,34,23,0.006753675
0,0,0,0,64,34,23,-1.0
3,3,4,9,53,35,23,0.00074154
3,3,4,4,54,35,23,0.004530451
1,4,5,8,55,35,23,0.022873648
1,4,5,8,56,35,23,0.023943702
1,4,5,10,57,35,23,0.016050242
1,1,1,1,58,35,23,0.0115812
1,1,1,10,59,35,23,0.0143608
0,0,0,0,60,35,23,-1.0
3,3,4,9,54,36,23,0.001218109
3,1,7,7,55,36,23,0.007072049
3,3,4,4,56,36,23,0.004783039
3,3,4,4,57,36,23,0.003948838
3,3,4,4,58,36,23,0.004653042
3,3,4,4,59,36,23,0.004757742
3,3,4,9,58,37,23,0.001365413
3,3,4,9,59,37,23,0.00123339
3,3,7,7,54,25,24,0.005811189
3,3,7,7,54,26,24,0.006337668
3,3,7,7,55,27,24,0.006495724
3,1,7,7,57,27,24,0.007382946
0,0,0,0,60,27,24,-1.0
1,1,1,1,61,27,24,0.010862184
1,1,1,10,62,27,24,0.015224819
3,1,7,7,63,27,24,0.007103875
0,0,0,0,64,27,24,-1.0
3,3,7,7,54,28,24,0.006109862
3,3,7,7,55,28,24,0.0068542
3,3,7,7,56,28,24,0.006021456
3,3,7,7,57,28,24,0.006460626
3,3,7,7,58,28,24,0.00686322
3,3,7,7,59,28,24,0.006070478
0,0,0,0,60,28,24,-1.0
1,1,1,1,61,28,24,0.011283982
1,4,5,10,62,28,24,0.01633708
3,1,7,7,63,28,24,0.007083016
0,0,0,0,64,28,24,-1.0
0,0,0,0,65,28,24,-1.0
3,1,7,7,54,29,24,0.007994456
3,3,4,4,55,29,24,0.004786563
3,3,4,4,56,29,24,0.004474208
3,3,7,7,57,29,24,0.005922031
3,1,7,7,58,29,24,0.007926417
3,3,4,4,59,29,24,0.004592416
0,0,0,0,60,29,24,-1.0
1,1,1,1,61,29,24,0.012014128
1,4,5,5,62,29,24,0.017216614
3,1,7,7,63,29,24,0.007567011
0,0,0,0,64,29,24,-1.0
1,1,1,1,54,30,24,0.012554827
3,3,7,7,55,30,24,0.006723199
3,3,7,7,56,30,24,0.00684019
3,3,7,4,57,30,24,0.004873147
3,1,7,1,58,30,24,0.009300823
3,3,7,4,59,30,24,0.005140104
0,0,0,0,60,30,24,-1.0
1,1,1,1,61,30,24,0.01148554
1,4,5,5,62,30,24,0.017590245
3,1,7,7,63,30,24,0.007938872
0,0,0,0,64,30,24,-1.0
1,1,1,10,55,31,24,0.013668621
1,4,5,5,56,31,24,0.01677954
1,1,1,10,57,31,24,0.013770229
1,1,1,1,58,31,24,0.011098561
3,1,7,7,59,31,24,0.007758667
0,0,0,0,60,31,24,-1.0
1,4,5,10,61,31,24,0.016376378
1,4,5,8,62,31,24,0.022036674
3,1,7,7,63,31,24,0.008604378
0,0,0,0,64,31,24,-1.0
1,4,5,5,54,32,24,0.0196802
1,4,3,12,55,32,24,0.028846951
2,5,6,6,56,32,24,0.04939557
2,2,3,12,57,32,24,0.03040548
1,1,1,10,58,32,24,0.01508547
3,1,1,1,59,32,24,0.009678956
0,0,0,0,60,32,24,-1.0
1,4,5,8,61,32,24,0.022898184
1,4,3,12,62,32,24,0.026970247
3,1,7,1,63,32,24,0.009130236
0,0,0,0,64,32,24,-1.0
1,4,5,5,54,33,24,0.020283366
2,5,6,2,55,33,24,0.053829614
2,5,2,11,56,33,24,0.07296985
2,2,6,6,57,33,24,0.042680267
1,4,5,5,58,33,24,0.01896056
1,1,1,10,59,33,24,0.012848185
1,4,5,8,61,33,24,0.02232128
2,2,3,12,62,33,24,0.029895587
3,1,7,1,63,33,24,0.009175419
0,0,0,0,64,33,24,-1.0
1,1,1,10,54,34,24,0.014112141
2,5,6,6,55,34,24,0.050870243
2,5,2,11,56,34,24,0.06957724
2,2,3,3,57,34,24,0.035725195
1,4,5,5,58,34,24,0.018468456
1,4,5,10,59,34,24,0.015905457
1,4,3,12,62,34,24,0.026210962
3,1,7,7,63,34,24,0.00772349
3,3,7,7,54,35,24,0.00635028
1,4,3,12,55,35,24,0.026644347
2,2,3,3,56,35,24,0.03324313
1,4,5,5,57,35,24,0.018398436
1,1,1,10,58,35,24,0.012962941
1,1,1,1,59,35,24,0.011398538
3,3,4,4,63,35,24,0.00411645
3,3,4,9,53,36,24,0.000167245
3,3,4,9,54,36,24,0.001644832
3,1,7,1,56,36,24,0.009166192
3,3,7,4,57,36,24,0.005214945
3,3,7,7,58,36,24,0.006310672
3,3,7,4,59,36,24,0.005370595
3,3,4,9,58,37,24,0.001953477
3,3,4,9,54,27,25,0.002660217
3,3,4,4,57,27,25,0.004770432
3,3,7,7,58,27,25,0.006925892
1,1,1,1,59,27,25,0.010592
0,0,0,0,60,27,25,-1.0
1,1,1,1,61,27,25,0.010847814
1,1,1,1,62,27,25,0.010494647
3,3,7,7,63,27,25,0.006367777
0,0,0,0,64,27,25,-1.0
3,3,4,4,54,28,25,0.004813
3,3,4,4,57,28,25,0.004247764
3,3,7,7,58,28,25,0.005734687
3,3,7,7,59,28,25,0.006659773
0,0,0,0,60,28,25,-1.0
3,1,7,1,61,28,25,0.008802573
1,1,1,10,62,28,25,0.01362066
3,3,7,7,63,28,25,0.006554275
0,0,0,0,64,28,25,-1.0
3,3,7,7,54,29,25,0.006198541
3,3,4,9,55,29,25,0.002209308
3,3,4,9,56,29,25,0.002165551
3,3,4,4,57,29,25,0.004140997
3,3,7,4,58,29,25,0.005308508
3,3,4,4,59,29,25,0.003704154
0,0,0,0,60,29,25,-1.0
3,1,7,7,61,29,25,0.00777819
1,4,5,10,62,29,25,0.015780807
3,1,7,7,63,29,25,0.007276507
0,0,0,0,64,29,25,-1.0
3,1,7,7,54,30,25,0.007409308
3,3,4,4,55,30,25,0.003277158
3,3,4,4,56,30,25,0.004471873
3,3,4,4,57,30,25,0.00383924
3,3,7,4,58,30,25,0.005180826
3,3,4,9,59,30,25,0.002778071
0,0,0,0,60,30,25,-1.0
3,1,1,1,61,30,25,0.009782111
1,4,5,5,62,30,25,0.017819615
3,1,7,7,63,30,25,0.00748949
0,0,0,0,64,30,25,-1.0
1,1,1,1,54,31,25,0.012471112
3,3,7,7,55,31,25,0.007022626
1,1,1,1,56,31,25,0.012052226
3,3,7,7,57,31,25,0.006307582
3,3,7,4,58,31,25,0.005417957
3,3,4,4,59,31,25,0.004350032
0,0,0,0,60,31,25,-1.0
1,1,1,10,61,31,25,0.015282397
1,4,5,8,62,31,25,0.023767209
3,1,7,7,63,31,25,0.008295354
0,0,0,0,64,31,25,-1.0
1,4,5,10,54,32,25,0.015923398
1,1,1,10,55,32,25,0.015155318
2,2,3,3,56,32,25,0.032886125
1,1,5,10,57,32,25,0.015696062
3,1,7,1,58,32,25,0.009293567
