cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
1,5,4,10,0.06130261
3,3,3,11,0.10602468
0,5,0,8,0.07155491
0,0,7,0,0.081971936
0,0,0,0,0.07851669
0,0,0,0,0.07737015
3,4,7,7,0.08940499
3,4,3,11,0.101338744
3,4,3,11,0.10179758
3,4,3,3,0.09477928
3,3,3,11,0.10661327
3,4,3,3,0.093616046
3,4,3,3,0.09269024
3,4,7,7,0.08885317
0,0,0,0,0.0794131
0,0,0,8,0.07457767
0,0,7,7,0.08396994
0,0,7,7,0.08609927
0,0,7,0,0.08095617
0,0,7,0,0.083361454
3,3,6,11,0.11089506
0,5,0,8,0.07195323
0,5,4,4,0.06691458
3,4,3,3,0.093637854
3,4,3,3,0.094546616
3,4,7,7,0.08996344
0,0,0,8,0.076048784
0,5,0,8,0.07163415
3,4,7,7,0.087964
0,5,4,4,0.06444662
0,0,7,7,0.08535795
0,5,4,4,0.068730816
0,5,4,4,0.06803318
0,0,0,0,0.07924743
1,5,4,10,0.061777145
0,0,0,0,0.07892087
0,0,0,0,0.077157445
0,5,0,4,0.068979174
0,0,0,8,0.075506076
0,0,0,0,0.07885795
0,5,0,8,0.070937134
1,1,4,10,0.054501474
1,5,4,10,0.059306387
0,5,0,8,0.07098741
0,5,0,8,0.07059142
0,5,0,8,0.072134405
3,4,7,7,0.08718204
3,4,7,7,0.08833889
1,5,4,10,0.062054295
0,0,0,8,0.0733233
3,4,7,7,0.08962233
0,5,0,8,0.0699673
0,5,0,4,0.06959424
3,4,3,3,0.09513827
3,4,3,3,0.09931618
3,4,7,7,0.08769533
0,0,7,7,0.08622763
0,0,7,7,0.08544749
1,5,4,10,0.056200024
0,5,4,4,0.068379976
0,0,0,0,0.077845946
0,0,7,7,0.08406966
3,4,7,7,0.086709976
1,1,1,1,0.049433872
1,1,1,12,0.042442534
1,5,4,4,0.06304435
0,5,0,8,0.072240025
0,0,0,8,0.074121594
0,0,0,8,0.07288796
0,0,0,0,0.07794207
3,4,3,3,0.09378293
0,0,7,7,0.08378656
0,0,0,0,0.07943294
0,0,7,7,0.08543296
3,4,3,11,0.10217348
1,1,1,1,0.05354749
1,1,1,12,0.040573105
1,1,1,1,0.04423089
0,5,0,8,0.071570314
3,4,7,7,0.08859272
0,0,0,0,0.078918144
3,4,7,3,0.091287784
3,4,3,3,0.09905453
0,0,0,0,0.07660237
0,5,4,4,0.066733934
0,0,0,0,0.07874407
0,0,7,0,0.08183419
3,4,7,7,0.09011972
1,1,1,1,0.04818328
1,1,1,1,0.045257192
1,5,4,10,0.05861597
3,4,7,7,0.08934051
3,4,3,3,0.099731445
3,4,7,7,0.08701635
3,4,3,3,0.09366558
3,4,3,3,0.09438694
0,5,0,4,0.069322236
1,5,4,10,0.061122175
0,0,0,8,0.07653728
1,1,1,1,0.049332324
1,5,4,10,0.061306804
0,0,0,0,0.07957861
3,4,3,3,0.0973059
3,4,3,3,0.098985426
3,4,7,7,0.08871962
0,5,0,4,0.068932906
0,5,4,4,0.06490078
0,0,0,0,0.078946434
0,5,0,8,0.07177249
1,1,1,1,0.049869996
0,5,4,4,0.06579179
0,0,7,0,0.08300332
3,4,7,7,0.08787142
3,4,7,3,0.09137066
0,0,0,8,0.07579923
3,4,7,7,0.08892108
0,5,0,8,0.070033334
1,5,4,10,0.058389112
1,5,4,4,0.06434528
0,0,0,0,0.07795967
0,0,7,0,0.082057536
0,0,0,8,0.07544249
3,4,3,3,0.09194231
3,4,7,7,0.088989034
3,4,3,11,0.104077026
0,5,4,4,0.06857807
0,0,0,8,0.07369991
0,0,7,7,0.08584876
3,4,7,7,0.08706944
0,5,0,8,0.070900954
0,0,0,8,0.07608684
3,4,3,11,0.101484105
3,4,7,7,0.09016022
0,5,0,8,0.07224119
3,3,6,11,0.109440304
3,4,7,7,0.08823161
0,0,7,0,0.08187315
0,0,7,0,0.08172075
0,0,0,8,0.07440254
3,4,7,7,0.08752288
0,0,0,0,0.07941444
0,0,0,8,0.072700724
3,4,7,7,0.08771623
0,5,0,8,0.07007305
1,1,1,1,0.051758334
1,5,4,10,0.05647355
3,4,3,3,0.095439136
3,4,7,7,0.0909974
0,0,7,0,0.08054687
0,5,4,4,0.066772796
0,0,0,8,0.07536273
0,0,0,8,0.07316608
0,0,7,0,0.08269431
0,0,7,7,0.08451209
0,0,0,8,0.07243083
0,5,4,4,0.06733681
1,5,4,10,0.056269623
0,5,4,4,0.06735694
0,0,0,8,0.07358202
0,5,0,4,0.06974605
0,0,0,8,0.07578565
3,4,3,3,0.09278927
0,0,0,0,0.079348825
0,0,0,0,0.0791756
3,4,7,7,0.0868298
0,0,0,8,0.075811446
0,5,0,4,0.068785995
1,1,1,12,0.035601754
1,1,1,12,0.025984406
1,1,1,12,0.036122132
1,5,4,10,0.060389984
0,0,0,0,0.07852579
3,4,7,7,0.089574
3,4,3,3,0.09936182
0,0,0,0,0.07921085
0,0,0,8,0.0728596
0,0,7,7,0.084308796
0,0,7,0,0.083577745
1,5,4,4,0.064281866
1,1,1,12,0.03790298
1,1,1,12,0.037764143
1,1,1,1,0.043679763
0,0,0,8,0.07569143
3,4,3,3,0.09417937
0,0,7,7,0.08606371
3,4,3,11,0.10068865
0,0,0,0,0.07871274
0,5,0,8,0.07077721
0,0,7,0,0.08106939
3,4,7,7,0.08802977
0,5,4,4,0.06674425
1,1,1,1,0.0473037
1,5,4,10,0.05613222
1,5,4,10,0.06220659
3,4,7,7,0.08687743
3,4,3,3,0.09757295
3,4,3,3,0.092262894
3,4,3,11,0.100669
0,0,7,0,0.082908794
0,0,0,8,0.074369475
0,0,7,7,0.08501921
0,5,0,8,0.07010121
1,1,4,1,0.05401009
0,5,4,4,0.06799936
0,0,0,8,0.07611427
3,4,7,7,0.0867692
3,4,7,7,0.08892232
3,4,3,3,0.09328664
3,4,3,11,0.100879185
3,4,7,3,0.09129092
1,5,4,10,0.061000228
0,5,4,4,0.06708369
0,0,0,8,0.073603764
0,0,0,0,0.07948407
0,0,0,0,0.07741662
3,4,3,3,0.09882986
3,4,7,7,0.08843575
0,0,7,0,0.08334703
0,5,0,8,0.07222054
0,0,7,0,0.081356764
3,4,3,11,0.10037282
3,4,3,3,0.097745165
3,3,6,11,0.10970707
0,0,0,8,0.07607705
0,0,7,0,0.08174237
3,4,3,3,0.09786087
3,4,7,7,0.087690346
0,0,7,0,0.08093289
3,4,3,11,0.10412371
3,4,3,3,0.09617542
0,5,0,8,0.07192947
0,0,0,0,0.0786325
0,5,4,4,0.06512712
3,3,6,11,0.1073707
0,0,0,0,0.07690744
1,5,4,4,0.06373435
0,5,0,8,0.07178383
0,0,7,0,0.082881026
1,5,4,10,0.056605745
1,1,1,1,0.048350234
3,4,7,3,0.091660574
3,4,3,3,0.097133376
3,4,7,7,0.08874957
0,0,7,0,0.0810543
0,5,4,4,0.067210115
0,0,0,8,0.0749712
0,5,0,8,0.07148104
0,0,0,0,0.076968834
0,0,0,0,0.08029927
0,0,0,8,0.07335556
1,1,1,1,0.049217667
1,1,1,12,0.037410513
1,1,1,12,0.029830031
1,1,1,1,0.04865308
1,5,4,10,0.058032874
1,5,4,10,0.06190957
1,5,4,10,0.061191496
0,0,0,8,0.07417462
3,4,7,7,0.09093288
0,0,7,0,0.08267123
0,0,0,0,0.07853921
0,0,7,0,0.08328662
0,0,0,0,0.07866168
1,1,1,1,0.046464853
1,1,1,12,0.03468242
1,1,1,12,0.030939287
1,1,1,12,0.030976728
1,1,1,1,0.048052307
1,5,4,10,0.06021471
0,5,0,4,0.06951249
3,4,7,7,0.088904075
3,4,3,3,0.099290565
0,4,7,7,0.086471945
0,0,0,0,0.08010997
3,4,7,7,0.08715442
1,1,1,1,0.050858464
1,1,1,12,0.041623373
1,1,1,1,0.043969154
1,1,1,12,0.038293503
1,5,4,10,0.061074562
0,0,0,0,0.07999023
3,4,7,7,0.08681664
3,4,3,11,0.10388041
3,4,7,7,0.0877539
0,0,7,7,0.08397443
3,4,7,7,0.08706984
1,5,4,10,0.0563561
1,5,4,10,0.059098285
1,1,1,1,0.051014367
0,0,0,8,0.073400475
3,4,7,7,0.08948893
3,4,3,3,0.09382389
3,4,3,11,0.10190539
3,3,6,11,0.10915691
3,4,7,7,0.090851605
0,0,7,7,0.08483117
3,4,7,7,0.088113874
0,0,0,8,0.07344593
1,5,4,10,0.06208365
0,5,4,4,0.067905046
1,5,4,4,0.06389602
0,0,0,0,0.07860467
0,0,7,0,0.08356234
3,4,3,3,0.093473256
3,4,3,11,0.1004067
3,3,3,11,0.10530687
3,4,3,3,0.094494425
0,0,7,0,0.08242284
3,4,7,7,0.09093755
0,0,0,8,0.07285296
1,5,4,10,0.061227355
0,5,4,4,0.06584518
0,5,4,4,0.066200726
0,0,0,8,0.075072736
0,0,0,8,0.07284758
3,4,7,7,0.086937584
3,4,3,3,0.09603612
3,4,3,3,0.09573465
3,4,7,7,0.08797129
3,4,7,7,0.08947914
0,0,0,8,0.073364265
1,5,4,10,0.062264632
1,5,4,4,0.06425093
0,5,4,4,0.06798826
0,0,0,0,0.07743596
0,5,0,8,0.07030073
0,0,0,0,0.07935248
3,4,3,3,0.094692886
1,5,4,10,0.060563948
0,5,0,4,0.069799006
0,0,0,0,0.07709314
3,4,3,3,0.09444446
0,0,7,0,0.08074326
0,0,7,7,0.08449916
3,4,3,3,0.093719505
3,4,3,3,0.093771026
3,4,7,7,0.08886999
0,0,7,7,0.08619254
1,5,4,10,0.056736648
3,3,6,11,0.10945177
3,4,7,7,0.090783216
0,0,0,0,0.07983637
0,5,4,4,0.06474221
0,5,4,4,0.06751292
0,0,0,0,0.0775957
0,5,4,4,0.06646074
1,1,1,1,0.050776444
0,0,0,0,0.07882625
3,4,7,3,0.091524884
0,0,7,7,0.08465088
0,0,7,7,0.08538184
0,5,0,8,0.07217856
0,0,0,8,0.07490219
0,5,0,8,0.0720601
0,0,0,8,0.07388142
0,0,0,0,0.07806305
0,0,7,0,0.08063667
1,1,1,12,0.042374335
1,1,1,1,0.04409084
1,1,1,1,0.045616657
1,5,4,10,0.05865752
1,5,4,10,0.055861417
1,5,4,10,0.06093099
0,5,0,4,0.06910272
0,0,7,7,0.084975414
0,0,7,0,0.08071532
0,0,0,8,0.07387164
0,0,0,0,0.078712724
1,1,1,12,0.03872081
1,1,1,1,0.0477153
1,1,1,12,0.03242074
1,1,1,1,0.04980877
1,1,1,1,0.048723053
1,5,4,10,0.062384553
0,0,7,0,0.08088969
3,4,7,3,0.09148871
0,0,7,7,0.08380703
0,0,0,0,0.07807502
3,4,7,7,0.08720501
1,1,1,1,0.05035468
1,1,1,12,0.04297645
1,5,4,10,0.05948446
1,5,4,4,0.06439295
0,0,7,0,0.08075158
3,4,7,7,0.091026396
3,4,3,3,0.09387587
0,0,7,7,0.085209526
0,0,7,7,0.08616062
3,4,7,3,0.091444395
1,5,4,10,0.06272168
1,5,4,4,0.06355544
1,1,4,10,0.05548647
0,5,0,8,0.07004411
0,0,0,8,0.07517073
0,0,7,7,0.08430581
3,4,7,7,0.09088486
3,4,3,3,0.09711433
0,0,7,7,0.085842565
3,4,7,7,0.08705962
3,4,7,7,0.088306084
0,5,4,4,0.06748327
0,5,0,8,0.07031375
0,5,4,4,0.065329306
0,0,0,8,0.07551309
0,0,0,8,0.073087625
0,0,0,0,0.07839887
3,4,3,3,0.09237806
0,0,7,7,0.08566417
0,0,7,0,0.082865775
3,4,7,7,0.08763087
0,5,4,4,0.06584194
0,5,4,4,0.068604484
0,5,0,8,0.071942456
0,0,0,0,0.076805815
0,5,4,4,0.06866621
0,0,0,8,0.07298231
3,4,7,7,0.089403786
0,0,7,0,0.08283793
1,5,4,4,0.063099034
0,5,0,4,0.06912273
0,0,0,8,0.07659702
0,0,0,0,0.079167716
0,5,0,8,0.07136493
0,0,0,8,0.07436716
0,0,7,0,0.08184727
0,0,0,0,0.07943606
1,5,4,4,0.06423662
0,0,0,0,0.080014326
0,0,7,0,0.082877524
0,0,7,0,0.08139185
3,4,7,7,0.087327525
3,4,7,7,0.09121922
3,4,7,7,0.08713997
3,4,3,3,0.09780475
3,4,3,11,0.10198903
3,4,3,11,0.101649016
3,4,3,11,0.10230101
3,4,3,3,0.09357003
0,5,0,8,0.07053148
0,5,0,8,0.0713869
0,0,0,0,0.07880723
0,0,0,0,0.07811079
3,4,7,7,0.08665346
0,0,7,7,0.08548658
3,4,3,3,0.093864396
0,0,7,7,0.08598226
3,4,7,7,0.08946638
0,5,0,8,0.07219846
0,0,0,0,0.077129364
0,0,7,7,0.08618878
1,1,1,1,0.047417272
0,5,4,4,0.067622684
1,5,4,10,0.057188116
0,5,0,8,0.07104504
1,5,4,4,0.0639521
0,0,0,8,0.07281918
0,5,0,8,0.070332535
0,0,7,7,0.08497953
0,0,0,8,0.072986566
0,0,0,8,0.07452572
3,4,7,7,0.0875243
1,1,1,12,0.040155824
1,5,4,10,0.061251383
1,1,1,1,0.046257496
1,5,4,10,0.06109189
1,1,1,1,0.053452406
1,5,4,10,0.061365016
0,5,0,8,0.071479864
0,0,0,0,0.079765126
0,0,0,8,0.07312677
0,0,0,8,0.074095935
3,4,7,7,0.08992492
1,1,1,12,0.04158985
1,1,4,1,0.054245953
1,1,1,1,0.052673444
1,5,4,4,0.06431166
1,5,4,10,0.059538763
0,5,0,4,0.06876064
0,0,0,8,0.07609939
0,0,0,0,0.07668098
0,0,0,8,0.074979916
0,0,0,0,0.078042425
3,4,7,7,0.08700448
0,5,4,4,0.06459724
0,5,4,4,0.06632126
0,5,4,4,0.06538511
0,5,0,8,0.070229694
0,5,4,4,0.0657095
0,5,0,8,0.07186884
0,0,0,0,0.07782431
0,0,0,0,0.07927907
0,0,0,8,0.07443337
0,0,0,0,0.0787697
0,0,0,0,0.07910983
0,5,0,4,0.069804505
0,5,0,8,0.07213166
0,0,0,8,0.07375148
0,0,0,8,0.07303498
0,5,4,4,0.067239776
0,5,0,8,0.07070833
0,0,0,0,0.08000395
0,5,0,8,0.07074764
0,0,0,8,0.07388171
0,5,0,8,0.07105196
0,0,0,0,0.08012256
0,0,0,8,0.07548564
0,0,0,8,0.07293867
0,0,7,0,0.08115667
0,0,0,8,0.076482184
0,5,0,4,0.06949616
0,5,0,8,0.07091586
0,0,7,0,0.08203081
0,5,0,8,0.07119032
0,5,0,8,0.071353056
0,0,0,8,0.076011375
0,0,0,0,0.07975185
0,0,0,8,0.07340524
0,0,0,0,0.078593396
3,4,7,3,0.09158427
0,0,7,0,0.08252932
0,0,0,8,0.07601122
3,3,6,6,0.12202504
3,4,3,11,0.10356139
3,3,6,6,0.11648364
3,3,6,11,0.11145812
3,3,6,6,0.121253185
3,3,6,6,0.11506893
0,0,0,0,0.0783595
1,5,4,10,0.056965645
1,1,1,1,0.05301773
0,0,0,8,0.07381769
0,0,7,7,0.08580892
3,4,3,3,0.09959967
3,3,6,11,0.106880285
3,3,6,6,0.11462041
0,0,7,0,0.08167576
3,4,3,3,0.09406347
3,4,3,11,0.10056302
1,1,1,1,0.049511295
1,5,4,10,0.05972182
1,1,1,1,0.05220717
0,5,4,4,0.06549068
0,5,4,4,0.06504468
0,0,0,0,0.07764678
0,0,0,0,0.07967143
3,4,3,3,0.0931407
0,0,0,0,0.07800535
3,4,3,3,0.09479639
3,3,6,11,0.10811065
1,1,1,12,0.037856106
1,1,4,10,0.05470611
1,1,1,1,0.051907957
1,5,4,10,0.058969118
1,5,4,10,0.05819504
1,5,4,10,0.058315307
0,5,4,4,0.064495414
0,5,0,8,0.06985126
0,5,0,8,0.07114781
0,0,7,7,0.08475194
3,4,3,3,0.09572071
1,1,1,12,0.04083406
1,5,4,10,0.0559759
1,5,4,10,0.056798153
1,5,4,10,0.061131768
1,5,4,10,0.058542132
1,5,4,10,0.058787838
1,5,4,4,0.06430427
1,5,4,10,0.060890608
1,5,4,4,0.063255824
0,5,0,8,0.070483275
0,5,0,8,0.07207169
0,5,4,4,0.06473341
0,5,4,4,0.06786199
0,5,4,4,0.067721635
0,5,4,4,0.06681784
1,5,4,10,0.061159298
0,5,4,4,0.06586826
0,0,0,8,0.07305035
0,5,4,4,0.06604192
1,5,4,10,0.057247836
1,5,4,10,0.061532736
1,5,4,10,0.06031153
0,0,0,8,0.07533171
0,5,4,4,0.06648253
0,5,0,4,0.0693734
0,0,0,8,0.074498504
0,5,0,8,0.07070019
0,5,4,4,0.06530015
0,0,0,8,0.07508892
0,0,7,7,0.08457487
1,1,1,1,0.053228933
0,0,0,0,0.07979577
0,0,0,8,0.0754478
0,0,0,8,0.07445942
0,0,7,0,0.080977164
0,0,0,8,0.07539135
0,5,0,8,0.07039875
0,0,0,0,0.08021719
3,4,7,7,0.09107952
0,5,4,4,0.06821494
0,0,7,0,0.08267834
0,0,7,7,0.086309165
0,0,0,0,0.077122904
0,0,0,8,0.07499466
0,0,7,0,0.08247709
3,4,3,3,0.09300211
3,4,7,7,0.08758036
0,0,0,0,0.07705633
0,0,0,0,0.07678647
2,2,5,5,0.21655022
1,1,1,12,0.037845254
1,1,1,1,0.05025753
3,3,6,6,0.1256358
2,3,2,2,0.15660444
2,2,2,2,0.18509251
2,2,2,2,0.18002574
3,3,6,6,0.121780336
0,5,4,4,0.06679887
1,1,1,12,0.04183692
1,1,1,1,0.04480268
0,5,0,8,0.07228524
0,0,7,0,0.08252251
3,3,6,11,0.111089885
3,3,6,6,0.12750845
3,3,6,6,0.13901591
3,4,3,11,0.10349494
3,4,3,11,0.10209094
3,4,3,11,0.102105886
1,1,1,1,0.04744639
1,1,1,12,0.039009247
1,1,1,12,0.03899612
1,1,4,1,0.05432521
1,1,1,1,0.049826324
0,5,4,4,0.066717856
0,0,0,0,0.07872126
3,4,3,3,0.09624327
3,4,7,7,0.091113925
3,3,3,11,0.10646987
3,3,6,6,0.113059975
1,1,1,12,0.033929955
1,1,1,1,0.044583585
1,1,1,1,0.048089836
1,1,1,1,0.048077542
1,1,1,1,0.047402103
1,1,1,1,0.044243857
1,1,1,1,0.05235503
1,5,4,10,0.06065923
0,5,0,8,0.07170708
3,4,7,7,0.08965301
3,4,3,3,0.09353535
1,1,1,12,0.04115697
1,5,4,10,0.058998972
1,1,4,10,0.055052754
1,1,4,1,0.054062378
1,1,1,1,0.04913602
1,1,1,1,0.046084877
1,1,1,1,0.05032722
1,1,1,1,0.05032488
1,5,4,10,0.061060254
1,5,4,4,0.063894704
0,5,4,4,0.06802269
1,5,4,10,0.059808046
1,5,4,10,0.062274836
1,1,1,1,0.052646328
1,5,4,10,0.059883054
1,1,1,12,0.042428493
0,0,0,8,0.075444385
0,5,4,4,0.06616617
0,5,4,4,0.06596733
0,5,4,4,0.06752923
0,5,0,8,0.07186222
1,5,4,10,0.058953296
0,5,4,4,0.065076075
0,5,0,8,0.07155761
0,0,7,0,0.081307955
0,5,0,8,0.07224778
0,0,0,8,0.07547466
0,0,0,0,0.07804631
0,0,7,0,0.08326255
0,5,0,4,0.06884273
0,0,0,8,0.07416466
0,5,0,8,0.070346795
3,4,7,7,0.08781028
3,4,7,7,0.08940894
0,0,7,7,0.08632981
0,0,0,0,0.077624805
3,4,3,3,0.092449605
1,5,4,10,0.05952513
2,2,5,9,0.2870474
1,1,1,12,0.041580137
2,3,2,2,0.1600198
2,2,5,5,0.2267175
2,2,5,5,0.24081977
2,2,5,5,0.23308149
3,3,2,2,0.14635372
1,5,4,4,0.063114025
1,1,1,1,0.047536533
3,3,6,6,0.1336085
3,3,2,2,0.14986932
3,3,6,6,0.12008355
3,4,3,3,0.097918235
1,1,1,1,0.04852307
1,1,1,1,0.049107935
1,5,4,10,0.05728959
3,4,7,3,0.09144182
3,4,3,3,0.09789357
3,4,3,11,0.10188497
3,3,3,11,0.10579811
1,1,1,12,0.035317626
1,1,1,1,0.052818127
1,1,1,1,0.047997676
0,0,7,0,0.083114244
0,4,7,7,0.08657652
1,1,1,12,0.040151127
1,5,4,10,0.058085423
1,5,4,10,0.060066316
0,5,4,4,0.06541377
0,5,0,8,0.07082073
0,5,4,4,0.06517085
0,5,4,4,0.06687647
1,5,4,10,0.06046445
0,0,7,7,0.0847478
0,0,0,0,0.076831505
0,0,0,8,0.074610844
0,5,4,4,0.066275135
0,0,0,8,0.074139506
0,0,7,0,0.08165793
3,4,7,3,0.091336474
3,4,3,3,0.09793786
